PRV,NOW,,DEVELOPER,AIRCRAFT,,,CATEGORY,$,,ADDED,DAYS,
375,376,,Rotorsim Pilot,H125,0,161,Helicopter,F,,1 Apr 2022,1126,0.000
376,377,,Dave Garwood,DeHaviiland DH89 Dragon Rapide,0,161,Vintage / Biplane,F,,2 Apr 2022,1125,0.000
94,378,,Asobo,"CubCrafters XCub
(stock and with Bush League mod)",0,162,Piston GA,F,,30 Mar 2022,1128,0.000
96,379,,Asobo,Zlin Shock Ultra,0,162,Piston GA,D,,29 Mar 2022,1129,0.000
101,380,,Black Box Sim,BN 2 Islander,0,162,Piston GA,P,,27 Mar 2022,1131,0.000
104,381,,IndiaFoxtEcho,F-35 Lightning II,0,162,Military (Modern),P,,27 Mar 2022,1131,0.000
105,382,,Parallel 42,Freedom Fox / Fox2,0,162,Piston GA,P,,27 Mar 2022,1131,0.000
106,383,,AT Simulations,Focke-Wulf / Piaggio 149D,0,162,Piston GA,P,,27 Mar 2022,1131,0.000
109,384,,Mario Noriega,Caproni-Vizzola C-22J Ventura,0,162,Business Jet,P,,27 Mar 2022,1131,0.000
370,385,,Aeroplane Heaven,Spitfire Mk. 1A,0,166,Warbird (Classic),P,,30 Mar 2022,1159,0.000
371,386,,A1R Design,Ryan ST-A Special,0,162,Vintage / Biplane,P,,30 Mar 2022,1128,0.000
374,387,,Asobo,Aviat Pitts Special,0,162,Ultralight / Sports,F,,31 Mar 2022,1127,0.000
377,388,,Aeroplane Heaven,P51D Mustang,0,162,Warbird (Classic),P,,30 Mar 2022,1128,0.000
378,389,,Asobo,Top Rudder 103 Solo Aerolite,0,162,Ultralight / Sports,P,,29 Mar 2022,1129,0.000
379,390,,Rotorsim Pilot,Robinson R44,0,162,Helicopter,F,,29 Mar 2022,1129,0.000
380,391,,Just Flight,Piper Turbo Arrow 3/4 (and non-Turbo),0,162,Piston GA,P,,27 Mar 2022,1131,0.000
382,392,,Asobo,Cirrus SR-22 / SR-22T G6,0,162,Piston GA,D,,27 Mar 2022,1131,0.000
384,393,,Asobo,Robin DR400-180,0,162,Piston GA,F,,28 Mar 2022,1130,0.000
385,394,,Asobo,Junkers JU52,0,162,Vintage / Biplane,P,,28 Mar 2022,1130,0.000
386,395,,Aeroplane Heaven,Cessna 140,0,162,Piston GA,P,,28 Mar 2022,1130,0.000
387,396,,Asobo,Beechcraft Staggerwing,0,162,Vintage / Biplane,P,,28 Mar 2022,1130,0.000
388,397,,Asobo,F-18 Hornet,0,162,Military (Modern),F,,28 Mar 2022,1130,0.000
389,398,,Sim Skunk Works,TF-104 G Starfighter,0,162,Military (Modern),P,,28 Mar 2022,1130,0.000
390,399,,Fsadnis ,Hurricane,0,162,Warbird (Classic),F,,28 Mar 2022,1130,0.000
391,400,,Iris Simulations,Jabiru J160 / 170,0,162,Piston GA,P,,28 Mar 2022,1130,0.000
392,401,,Top Mach Studio,F-22 Raptor,0,162,Military (Modern),F,,28 Mar 2022,1130,0.000
393,402,,Ants Airplanes,Drifter Ultralight,0,162,Ultralight / Sports,P,,28 Mar 2022,1130,0.000
394,403,,Asobo,Flight Design CTSL,0,162,Piston GA,F,,28 Mar 2022,1130,0.000
396,404,,Black Box Sim,Cessna L-19 Bird Dog,0,162,Piston GA,P,,27 Mar 2022,1131,0.000
397,405,,Carenado,Mooney M20R Ovation,0,162,Piston GA,P,,27 Mar 2022,1131,0.000
398,406,,Aerosoft,DHC-6 Twin Otter,0,162,Turboprop,P,,27 Mar 2022,1131,0.000
399,407,,Carenado,Piper PA44 Seminole,0,162,Piston GA,P,,27 Mar 2022,1131,0.000
400,408,,Got Friends,EA-7 Edgley Optica,0,162,Piston GA,P,,27 Mar 2022,1131,0.000
401,409,,Big Radials,Grumman JRF-6B Goose,0,162,Vintage / Biplane,P,,27 Mar 2022,1131,0.000
402,410,,FlyInside,Bell 47G,0,162,Helicopter,P,,27 Mar 2022,1131,0.000
403,411,,DC Designs,Boeing Stearman PT-17,0,162,Vintage / Biplane,P,,27 Mar 2022,1131,0.000
405,412,,IndiaFoxtEcho,Aermacchi MB-339 ,0,162,Military (Modern),P,,27 Mar 2022,1131,0.000
406,413,,Just Flight,Piper Warrior II,0,162,Piston GA,P,,27 Mar 2022,1131,0.000
407,414,,Carenado,C337H Skymaster,0,162,Piston GA,P,,27 Mar 2022,1131,0.000
409,415,,DC Designs,F-14 Tomcat,0,162,Military (Modern),P,,27 Mar 2022,1131,0.000
410,416,,SC Designs,F-16 Falcon,0,162,Warbird (Classic),P,,27 Mar 2022,1131,0.000
411,417,,DC Designs,F-15 Eagle,0,162,Military (Modern),P,,27 Mar 2022,1131,0.000
413,418,,Asobo,Airbus A320neo,0,162,Airliner,F,,27 Mar 2022,1131,0.000
414,419,,Heavy Division,Boeing B78X,0,162,Airliner,F,,27 Mar 2022,1131,0.000
415,420,,Deejing ,Vans RV-7/7A,0,162,Ultralight / Sports,F,,27 Mar 2022,1131,0.000
416,421,,Carenado,Piper PA-34 Seneca V,0,162,Piston GA,P,,27 Mar 2022,1131,0.000
417,422,,Iris Simulations,Grob Tutor,0,162,Piston GA,P,,27 Mar 2022,1131,0.000
,,,,,,,,,,,,
,,,,Total VOTES,225,55,,,,⬅️ + MISSING VOTES,,
,,,,Total PARTICIPANTS,28,,,,,,,
,,,,Participants (actual),28,,,,,,,
,,,,Total AIRCRAFT,422,,,,,,,
