PRV,NOW,,DEVELOPER,AIRCRAFT,,,CATEGORY,$,,ADDED,DAYS,
54,60,,iniBuilds,Airbus A300-600R,1,71,Airliner,P,,26 Jan 2024,492,0.014
24,61,,Flysimware,Bombardier Learjet 35A,1,75,Business Jet,P,,31 Dec 2023,518,0.013
56,62,,SimWorks Studio,Pilatus PC-12,1,76,Turboprop,P,,21 Dec 2023,528,0.013
25,63,,Just Flight,Avro Vulcan B Mk. 2,1,79,Military (Modern),P,,30 Nov 2023,549,0.013
159,64,,Flight Replicas,Spitfire Mk.Ia / Mk.IIa,1,79,Warbird (Classic),P,,1 Dec 2023,548,0.013
168,65,,HPG,Airbus H160,1,84,Helicopter,P,,25 Oct 2023,585,0.012
58,66,,Carenado,Cessna 182RG II,1,102,Piston GA,P,,19 Jun 2023,713,0.010
202,67,,Microsoft / S&H Software,ATR 600 Series,1,110,Airliner,P,,27 Apr 2023,766,0.009
61,68,,Black Square,"Beechcraft Bonanza A36
(Steam Gauge Overhaul)",1,117,Piston GA,P,,9 Mar 2023,815,0.009
231,69,,Got Friends,Revolution Mini-500,1,120,Helicopter,P,,13 Feb 2023,839,0.008
222,70,,Microsoft / iniBuilds,Antonov An-225 Mriya,1,105,Other,P,,5 Mar 2023,728,0.010
239,71,,Asobo,CubCrafters NX Cub,1,123,Piston GA,F,,25 Jan 2023,858,0.008
64,72,,IndiaFoxtEcho,Ratan Model 61 Long-EZ,1,125,Ultralight / Sports,P,,10 Jan 2023,873,0.008
258,73,,DC Designs,AV-8B / GR9 Harrier II,1,131,Military (Modern),P,,29 Nov 2022,915,0.008
12,74,,Asobo,Guimbal Cabri G2,1,133,Helicopter,F,,15 Nov 2022,929,0.008
260,75,,Microsoft / iniBuilds,Airbus A310-300,1,133,Airliner,F,,14 Nov 2022,930,0.008
262,76,,Asobo / Blackbird,DHC-2 Beaver,1,134,Piston GA,F,,12 Nov 2022,932,0.007
274,77,,Ant’s Airplanes,de Havilland Tiger Moth,1,140,Vintage / Biplane,P,,30 Sep 2022,975,0.007
275,78,,Flying Iron,Grumman F6F-5 Hellcat,1,140,Warbird (Classic),P,,26 Sep 2022,979,0.007
281,79,,Carenado,Pilatus PC-12,1,143,Turboprop,P,,6 Sep 2022,999,0.007
14,80,,PMDG,Boeing 737-600,1,145,Airliner,P,,22 Aug 2022,1014,0.007
296,81,,Dave Garwood,Hawker Hunter,1,153,Military (Modern),F,,27 Jun 2022,1070,0.007
68,82,,PMDG,Boeing 737-700,1,160,Airliner,P,,10 May 2022,1118,0.006
67,83,,FlightFX,Honda HA420 (Marwan Gharib HJet),1,144,Business Jet,P,,1 Jun 2022,1005,0.007
69,84,,Just Flight,BAe 146 (any),1,148,Airliner,P,,3 May 2022,1034,0.007
339,85,,Asobo,"Cessna C208B Grand Caravan EX 
(with & without mod)",1,153,Turboprop,F,,28 Mar 2022,1070,0.007
341,86,,Asobo,Diamond DA62[X] (Modded),1,153,Piston GA,F,,30 Mar 2022,1068,0.007
31,87,,HPG,Airbus H145,1,154,Helicopter,P,,27 Mar 2022,1071,0.006
81,88,,Asobo ,Bonanza G36 (with & without mods),1,154,Piston GA,F,,27 Mar 2022,1071,0.006
368,89,,Black Box Sim,BN 2 Islander,1,154,Piston GA,P,,27 Mar 2022,1071,0.006
378,90,,Asobo,Cirrus SR-22 / SR-22T G6,1,154,Piston GA,D,,27 Mar 2022,1071,0.006
18,91,,Got Friends,AeroElvira EA-7 Optica (MSFS 2024),0,21,Piston GA,F,,7 Jan 2025,145,0.000
36,92,,Got Friends,Stemme S12,0,21,Glider,D,,7 Jan 2025,145,0.000
37,93,,Got Friends,Pipstrel Taurus M2,0,21,Glider,D,,7 Jan 2025,145,0.000
82,94,,Carenado,Cessna 404 Titan,0,22,Piston GA,D,,31 Dec 2024,152,0.000
42,95,,Asobo,Air Tractor AT-802,0,23,Piston GA,F,,29 Dec 2024,154,0.000
83,96,,iniBuilds / Hans Hartmann,de Havilland DHC-6 Twin Otter (2024),0,24,Turboprop,F,,22 Dec 2024,161,0.000
84,97,,Asobo,Hot Air Balloon,0,24,Other,F,,22 Dec 2024,161,0.000
85,98,,Microsoft / Carenado,Beechcraft C90 GTX King Air,0,24,Turboprop,D,,22 Dec 2024,161,0.000
87,99,,Asobo / Carenado,Robinson R66,0,27,Helicopter,F,,27 Nov 2024,186,0.000
88,100,,AT Simulations,Dornier Seastar,0,27,Piston GA,D,,25 Nov 2024,188,0.000
89,101,,Black Box Sim,BN2T Islander Turboprop,0,28,Piston GA,P,,24 Nov 2024,189,0.000
90,102,,Restauravia,Nord N3400,0,29,Piston GA,F,,11 Nov 2024,202,0.000
91,103,,iniBuilds,Lockheed T-33,0,31,Military (Modern),P,,28 Oct 2024,216,0.000
47,104,,Flying Iron,Focke-Wulf Fw 190 A-8,0,34,Warbird (Classic),P,,13 Oct 2024,231,0.000
93,105,,Kuro,Boeing 787-8,0,34,Airliner,F,,13 Oct 2024,231,0.000
94,106,,LatinVFR,Airbus A340,0,34,Airliner,P,,11 Oct 2024,233,0.000
95,107,,Got Friends,Experimental MXA,0,34,Piston GA,F,,11 Oct 2024,233,0.000
96,108,,FlynDive,Grumman J2F Duck,0,34,Seaplane,F,,11 Oct 2024,233,0.000
97,109,,Virtavia,Grumman HU-16 Albatross,0,34,Seaplane,F,,11 Oct 2024,233,0.000
98,110,,RPSimulations,Embraer EMB-312 Tucano,0,34,Turboprop,P,,11 Oct 2024,233,0.000
99,111,,jXt Simulations,Bell 505,0,35,Helicopter,F,,2 Oct 2024,242,0.000
100,112,,Golden Key Studios,Mikoyan-Gurevich MiG-25PD “Foxbat”,0,35,Military (Modern),P,,2 Oct 2024,242,0.000
48,113,,Flysimware,Beechcraft Sierra C24R,0,36,Piston GA,P,,28 Sep 2024,246,0.000
101,114,,EZMods,XCub Extreme,0,36,Piston GA,F,,29 Sep 2024,245,0.000
102,115,,FlyInside ,Rotorway RW162F / JetExec,0,36,Helicopter,P,,28 Sep 2024,246,0.000
103,116,,Microsoft,Focke-Wulf Condor 200,0,38,Vintage / Biplane,P,,11 Sep 2024,263,0.000
104,117,,TukanFlightSim,Ford Trimotor 5AT ,0,40,Vintage / Biplane,P,,30 Aug 2024,275,0.000
106,118,,MADolo Simulations,Jonker JS3,0,41,Glider,F,,24 Aug 2024,281,0.000
107,119,,Hangar Studios 713,Ryan Nation B,0,41,Piston GA,P,,24 Aug 2024,281,0.000
109,120,,FastCow Simulation,Cicaré 8R,0,42,Helicopter,P,,18 Aug 2024,287,0.000
110,121,,FlightSim Studio,Boeing 727-200,0,42,Airliner,P,,15 Aug 2024,290,0.000
111,122,,iniBuilds / Microsoft,Westland Scout / Wasp,0,43,Helicopter,P,,9 Aug 2024,296,0.000
112,123,,Captain Sim,"Lockheed C-130 Hercules
(all variants)",0,46,Military (Modern),P,,17 Jul 2024,319,0.000
113,124,,Virtavia,Handley Page Hampden,0,46,Warbird (Classic),P,,17 Jul 2024,319,0.000
114,125,,Heaven Designs / Giba,Airbus H120 (HVN-120),0,46,Helicopter,P,,17 Jul 2024,319,0.000
115,126,,Deimos Inc.,Grumman A-6 Intruder,0,46,Military (Modern),P,,17 Jul 2024,319,0.000
116,127,,Sal1800,Cessna T206H Stationair,0,47,Piston GA,F,,14 Jul 2024,322,0.000
117,128,,Deimos Inc.,Sukhoi Su-27 Flanker,0,48,Military (Modern),P,,1 Jul 2024,335,0.000
118,129,,LatinVFR,Airbus A330-900,0,48,Airliner,P,,1 Jul 2024,335,0.000
119,130,,Taog’s Hangar,Bell UH-1H “Huey” / Bell 205,0,50,Helicopter,P,,21 Jun 2024,345,0.000
120,131,,Aviacion Espanola,Hispano Aviacion HA-200 / HA-220 “Saeta”,0,50,Military (Modern),P,,21 Jun 2024,345,0.000
122,132,,Microsoft / iniBuilds,Short SC.7 Skyvan,0,51,Turboprop,P,,16 Jun 2024,350,0.000
123,133,,FlynDive,Smaug,0,52,Piston GA,F,,4 Jun 2024,362,0.000
124,134,,Alpha60,Dassault Rafale M,0,52,Military (Modern),F,,3 Jun 2024,363,0.000
125,135,,Shrike Simulations,North American F-86 Sabre,0,57,Military (Modern),P,,30 Apr 2024,397,0.000
126,136,,Red Wing,Z139 Hindenburg Zeppelin,0,57,Other,P,,30 Apr 2024,397,0.000
127,137,,Heaven Designs / Giba,Maule MX-7-180,0,57,Piston GA,P,,29 Apr 2024,398,0.000
128,138,,Aeroplane Heaven,Republic P-47 D Razorback,0,57,Warbird (Classic),P,,30 Apr 2024,397,0.000
129,139,,Microsoft / iniBuilds,Dornier Do 31,0,58,Vintage / Biplane,P,,26 Apr 2024,401,0.000
130,140,,Golden Key Studios,General Dynamics F-111E Aardvark,0,59,Military (Modern),P,,19 Apr 2024,408,0.000
