PRV,NOW,,DEVELOPER,AIRCRAFT,,,CATEGORY,$,,ADDED,DAYS,
220,60,,Black Square,"Beechcraft Baron B58
(Steam Gauge Overhaul)",1,114,Piston GA,P,,27 Mar 2023,797,0.009
225,61,,Black Square,"Beechcraft Bonanza A36
(Steam Gauge Overhaul)",1,117,Piston GA,P,,9 Mar 2023,815,0.009
80,62,,Microsoft / Orbx,de Havilland Canada DHC-4 Caribou,1,118,Piston GA,P,,3 Mar 2023,821,0.008
237,63,,MADolo Simulations,Rolladen-Schneider LS4,1,120,Glider,F,,13 Feb 2023,839,0.008
250,64,,IndiaFoxtEcho,Ratan Model 61 Long-EZ,1,125,Ultralight / Sports,P,,10 Jan 2023,873,0.008
8,65,,MilViz / Blackbird,BB310R,1,122,Piston GA,P,,5 May 2022,850,0.008
92,66,,Microsoft,"Beechcraft Model 18
(with & without mods)",1,155,Piston GA,P,,16 Jun 2022,1081,0.006
301,67,,FlightFX,Honda HA420 (Marwan Gharib HJet),1,140,Business Jet,P,,1 Jun 2022,977,0.007
2,68,,PMDG,Boeing 737-700,1,160,Airliner,P,,10 May 2022,1118,0.006
22,69,,Just Flight,BAe 146 (any),1,144,Airliner,P,,3 May 2022,1006,0.007
93,70,,Black Box Sim,BN2A Trislander,1,144,Piston GA,P,,4 May 2022,1005,0.007
314,71,,NextGen Simulations,Embraer EMB 110 Bandeirante,1,144,Airliner,P,,4 May 2022,1005,0.007
315,72,,Asobo ,Boeing 787-10 Dreamliner,1,144,Airliner,D,,5 May 2022,1004,0.007
321,73,,Asobo,North American Aviation T-6 Texan,1,145,Piston GA,F,,25 Apr 2022,1014,0.007
99,74,,Wing42,Boeing 247D,1,148,Vintage / Biplane,P,,4 Apr 2022,1035,0.007
325,75,,Got Friends,Discus 2c [Free & Premium],1,148,Glider,B,,7 Apr 2022,1032,0.007
98,76,,Red Wing,Lockheed L-1049 Super-Constellation,1,149,Airliner,P,,2 Apr 2022,1037,0.007
101,77,,Asobo,"CubCrafters XCub
(stock and with Bush League mod)",1,149,Piston GA,F,,30 Mar 2022,1040,0.007
36,78,,Asobo,Cessna Longitude,1,150,Business Jet,D,,27 Mar 2022,1043,0.007
107,79,,IndiaFoxtEcho,F-35 Lightning II,1,150,Military (Modern),P,,27 Mar 2022,1043,0.007
348,80,,Asobo,Cessna 172 (with & without Improvement / Bush Kit / Turbo Diesel / Tail Dragger mods),1,150,Piston GA,F,,27 Mar 2022,1043,0.007
352,81,,Asobo ,Bonanza G36 (with & without mods),1,150,Piston GA,F,,27 Mar 2022,1043,0.007
43,82,,Carenado,Cessna 404 Titan,0,22,Piston GA,D,,31 Dec 2024,152,0.000
46,83,,iniBuilds / Hans Hartmann,de Havilland DHC-6 Twin Otter (2024),0,24,Turboprop,F,,22 Dec 2024,161,0.000
47,84,,Asobo,Hot Air Balloon,0,24,Other,F,,22 Dec 2024,161,0.000
49,85,,Microsoft / Carenado,Beechcraft C90 GTX King Air,0,24,Turboprop,D,,22 Dec 2024,161,0.000
16,86,,Microsoft / Carenado,Cessna 400 Corvalis TT,0,25,Piston GA,F,,14 Dec 2024,169,0.000
17,87,,Asobo / Carenado,Robinson R66,0,27,Helicopter,F,,27 Nov 2024,186,0.000
51,88,,AT Simulations,Dornier Seastar,0,27,Piston GA,D,,25 Nov 2024,188,0.000
112,89,,Black Box Sim,BN2T Islander Turboprop,0,28,Piston GA,P,,24 Nov 2024,189,0.000
113,90,,Restauravia,Nord N3400,0,29,Piston GA,F,,11 Nov 2024,202,0.000
114,91,,iniBuilds,Lockheed T-33,0,31,Military (Modern),P,,28 Oct 2024,216,0.000
115,92,,iFly,Boeing 737 MAX8,0,32,Airliner,P,,25 Oct 2024,219,0.000
117,93,,Kuro,Boeing 787-8,0,34,Airliner,F,,13 Oct 2024,231,0.000
118,94,,LatinVFR,Airbus A340,0,34,Airliner,P,,11 Oct 2024,233,0.000
119,95,,Got Friends,Experimental MXA,0,34,Piston GA,F,,11 Oct 2024,233,0.000
120,96,,FlynDive,Grumman J2F Duck,0,34,Seaplane,F,,11 Oct 2024,233,0.000
121,97,,Virtavia,Grumman HU-16 Albatross,0,34,Seaplane,F,,11 Oct 2024,233,0.000
122,98,,RPSimulations,Embraer EMB-312 Tucano,0,34,Turboprop,P,,11 Oct 2024,233,0.000
123,99,,jXt Simulations,Bell 505,0,35,Helicopter,F,,2 Oct 2024,242,0.000
124,100,,Golden Key Studios,Mikoyan-Gurevich MiG-25PD “Foxbat”,0,35,Military (Modern),P,,2 Oct 2024,242,0.000
53,101,,EZMods,XCub Extreme,0,36,Piston GA,F,,29 Sep 2024,245,0.000
125,102,,FlyInside ,Rotorway RW162F / JetExec,0,36,Helicopter,P,,28 Sep 2024,246,0.000
126,103,,Microsoft,Focke-Wulf Condor 200,0,38,Vintage / Biplane,P,,11 Sep 2024,263,0.000
127,104,,TukanFlightSim,Ford Trimotor 5AT ,0,40,Vintage / Biplane,P,,30 Aug 2024,275,0.000
128,105,,Sim Skunk Works,Vans RV-8,0,41,Piston GA,P,,24 Aug 2024,281,0.000
129,106,,MADolo Simulations,Jonker JS3,0,41,Glider,F,,24 Aug 2024,281,0.000
130,107,,Hangar Studios 713,Ryan Nation B,0,41,Piston GA,P,,24 Aug 2024,281,0.000
131,108,,The Flying Freja,Blackburn Buccaneer,0,42,Military (Modern),F,,14 Aug 2024,291,0.000
132,109,,FastCow Simulation,Cicaré 8R,0,42,Helicopter,P,,18 Aug 2024,287,0.000
133,110,,FlightSim Studio,Boeing 727-200,0,42,Airliner,P,,15 Aug 2024,290,0.000
134,111,,iniBuilds / Microsoft,Westland Scout / Wasp,0,43,Helicopter,P,,9 Aug 2024,296,0.000
27,112,,Captain Sim,"Lockheed C-130 Hercules
(all variants)",0,46,Military (Modern),P,,17 Jul 2024,319,0.000
135,113,,Virtavia,Handley Page Hampden,0,46,Warbird (Classic),P,,17 Jul 2024,319,0.000
136,114,,Heaven Designs / Giba,Airbus H120 (HVN-120),0,46,Helicopter,P,,17 Jul 2024,319,0.000
137,115,,Deimos Inc.,Grumman A-6 Intruder,0,46,Military (Modern),P,,17 Jul 2024,319,0.000
138,116,,Sal1800,Cessna T206H Stationair,0,47,Piston GA,F,,14 Jul 2024,322,0.000
55,117,,Deimos Inc.,Sukhoi Su-27 Flanker,0,48,Military (Modern),P,,1 Jul 2024,335,0.000
139,118,,LatinVFR,Airbus A330-900,0,48,Airliner,P,,1 Jul 2024,335,0.000
140,119,,Taog’s Hangar,Bell UH-1H “Huey” / Bell 205,0,50,Helicopter,P,,21 Jun 2024,345,0.000
141,120,,Aviacion Espanola,Hispano Aviacion HA-200 / HA-220 “Saeta”,0,50,Military (Modern),P,,21 Jun 2024,345,0.000
142,121,,Aeroplane Heaven,Hawker Hurricane,0,50,Warbird (Classic),P,,17 Jun 2024,349,0.000
143,122,,Microsoft / iniBuilds,Short SC.7 Skyvan,0,51,Turboprop,P,,16 Jun 2024,350,0.000
144,123,,FlynDive,Smaug,0,52,Piston GA,F,,4 Jun 2024,362,0.000
145,124,,Alpha60,Dassault Rafale M,0,52,Military (Modern),F,,3 Jun 2024,363,0.000
59,125,,Shrike Simulations,North American F-86 Sabre,0,57,Military (Modern),P,,30 Apr 2024,397,0.000
60,126,,Red Wing,Z139 Hindenburg Zeppelin,0,57,Other,P,,30 Apr 2024,397,0.000
61,127,,Heaven Designs / Giba,Maule MX-7-180,0,57,Piston GA,P,,29 Apr 2024,398,0.000
146,128,,Aeroplane Heaven,Republic P-47 D Razorback,0,57,Warbird (Classic),P,,30 Apr 2024,397,0.000
147,129,,Microsoft / iniBuilds,Dornier Do 31,0,58,Vintage / Biplane,P,,26 Apr 2024,401,0.000
148,130,,Golden Key Studios,General Dynamics F-111E Aardvark,0,59,Military (Modern),P,,19 Apr 2024,408,0.000
149,131,,BT Studio,Piper J3C-65 Cub,0,59,Piston GA,P,,19 Apr 2024,408,0.000
150,132,,AzurPoly,North American Rockwell OV-10 Bronco,0,59,Military (Modern),P,,15 Apr 2024,412,0.000
151,133,,Virtavia,Douglas A-4 Skyhawk,0,61,Military (Modern),P,,4 Apr 2024,423,0.000
152,134,,HCG,Mosquito XE,0,61,Helicopter,F,,2 Apr 2024,425,0.000
153,135,,Leonardo,Maddog MD-83/88,0,61,Airliner,P,,2 Apr 2024,425,0.000
154,136,,iniBuilds,Airbus A320neo (V2),0,62,Airliner,F,,26 Mar 2024,432,0.000
155,137,,Flying Fries,Hughes XF-11,0,64,Warbird (Classic),P,,13 Mar 2024,445,0.000
156,138,,Carenado,Piper PA28R-201 Arrow III,0,64,Piston GA,P,,14 Mar 2024,444,0.000
157,139,,TFDi,McDonnell Douglas MD-11,0,64,Airliner,P,,12 Mar 2024,446,0.000
29,140,,iniBuilds / Microsoft,Bell 47J Ranger,0,65,Helicopter,P,,5 Mar 2024,453,0.000
158,141,,Flight Replicas,de Havilland DH.82 Fox Moth,0,65,Vintage / Biplane,P,,5 Mar 2024,453,0.000
