PRV,NOW,,DEVELOPER,AIRCRAFT,,,CATEGORY,$,,ADDED,DAYS,
257,255,,OzWookiee,Grumman Goose G21-A Redux II,0,129,Vintage / Biplane,F,,17 Dec 2022,897,0.000
258,256,,Captain Sim,Boeing 777-300ER,0,130,Airliner,P,,9 Dec 2022,905,0.000
259,257,,iniBuilds,Curtiss P-40F Warhawk,0,130,Piston GA,P,,7 Dec 2022,907,0.000
260,258,,DC Designs,AV-8B / GR9 Harrier II,0,131,Military (Modern),P,,29 Nov 2022,915,0.000
261,259,,Asobo / FlightSim Studio,DG Aviation DG1001E neo,0,133,Glider,F,,16 Nov 2022,928,0.000
262,260,,Microsoft / iniBuilds,Airbus A310-300,0,133,Airliner,F,,14 Nov 2022,930,0.000
263,261,,Microsoft / Nemeth,Bell 407,0,133,Helicopter,F,,14 Nov 2022,930,0.000
86,262,,Asobo / Blackbird,DHC-2 Beaver,0,134,Piston GA,F,,12 Nov 2022,932,0.000
87,263,,Microsoft / BlueMesh,"Hughes H-4 Hercules ""Spruce Goose""",0,134,Military (Modern),F,,12 Nov 2022,932,0.000
264,264,,Headwind,Airbus A330-900,0,134,Airliner,F,,12 Nov 2022,932,0.000
265,265,,P McDonell & Philippe Wallaert,Avro Canada CF-105 Arrow Mk.2,0,134,Military (Modern),F,,9 Nov 2022,935,0.000
266,266,,Iris Simulations,Pilatus PC-21,0,134,Turboprop,P,,7 Nov 2022,937,0.000
267,267,,Asobo,Junkers F13,0,134,Vintage / Biplane,P,,7 Nov 2022,937,0.000
268,268,,Cockspur,Cessna 510 Mustang,0,137,Business Jet,P,,19 Oct 2022,956,0.000
269,269,,Black Square,King Air 350 (Steam Gauge Overhaul),0,138,Turboprop,P,,12 Oct 2022,963,0.000
270,270,,Aerial Sim,F-117A Nighthawk,0,138,Military (Modern),P,,13 Oct 2022,962,0.000
88,271,,Asobo / Carenado,Cessna 195 Businessliner,0,139,Piston GA,P,,4 Oct 2022,971,0.000
271,272,,HPG,Hot Air Balloon,0,139,Other,P,,6 Oct 2022,969,0.000
272,273,,IndiaFoxtEcho,Leonardo M-346,0,139,Military (Modern),P,,4 Oct 2022,971,0.000
89,274,,Ant’s Airplanes,de Havilland Tiger Moth,0,140,Vintage / Biplane,P,,30 Sep 2022,975,0.000
273,275,,Flying Iron,Grumman F6F-5 Hellcat,0,140,Warbird (Classic),P,,26 Sep 2022,979,0.000
274,276,,LatinVFR,Airbus A321neo (with & without mods),0,142,Airliner,P,,14 Sep 2022,991,0.000
275,277,,LatinVFR,Airbus A319,0,142,Airliner,P,,14 Sep 2022,991,0.000
276,278,,Delta Simulations (Destroyer121),Boeing C-17 Globemaster III,0,142,Military (Modern),F,,14 Sep 2022,991,0.000
277,279,,Roland Laborie,Canadair CL-215,0,142,Seaplane,F,,14 Sep 2022,991,0.000
278,280,,Deimos Inc.,Air Creation Tanarg 912,0,142,Ultralight / Sports,P,,12 Sep 2022,993,0.000
279,281,,Carenado,Pilatus PC-12,0,143,Turboprop,P,,6 Sep 2022,999,0.000
280,282,,Lionheart Creations,LearAvia Lear Fan 2100 ,0,143,Turboprop,P,,6 Sep 2022,999,0.000
281,283,,Hangar Studios 713,Camair 480 Twin Navion,0,144,Piston GA,P,,2 Sep 2022,1003,0.000
282,284,,HCG,Guimbal Cabri G2 ,0,144,Helicopter,F,,2 Sep 2022,1003,0.000
283,285,,WB-Sim,Cessna 172SP Classic Enhancement,0,145,Piston GA,P,,26 Aug 2022,1010,0.000
284,286,,Microsoft / Carenado,Beechcraft Bonanza V35B V-Tail,0,146,Piston GA,P,,20 Aug 2022,1016,0.000
285,287,,Flight Replicas,Piper L-4 Grasshopper,0,146,Piston GA,P,,15 Aug 2022,1021,0.000
286,288,,Aeroplane Heaven,Globe Swift GC-1A,0,147,Piston GA,P,,13 Aug 2022,1023,0.000
287,289,,Got Friends,Gee Bee R3 Special,0,149,Ultralight / Sports,P,,26 Jul 2022,1041,0.000
288,290,,Top Mach Studio,F-22 Raptor,0,149,Military (Modern),P,,26 Jul 2022,1041,0.000
90,291,,Black Square,"Cessna C208B Grand Caravan
(Steam Gauge Overhaul)",0,150,Turboprop,P,,24 Jul 2022,1043,0.000
289,292,,Got Gravel,Zlin & Gravel Savage Grravel,0,151,Piston GA,F,,14 Jul 2022,1053,0.000
290,293,,Deejing ,B&F Technik Vertriebs FK9 Mark 4,0,151,Piston GA,F,,14 Jul 2022,1053,0.000
291,294,,Asobo,L-39 Albatross,0,152,Military (Modern),P,,7 Jul 2022,1060,0.000
292,295,,Deimos Inc.,MiG 29 Fulcrum,0,152,Military (Modern),P,,7 Jul 2022,1060,0.000
293,296,,Dave Garwood,Hawker Hunter,0,153,Military (Modern),F,,27 Jun 2022,1070,0.000
91,297,,Black Square,Velocity XL,0,154,Piston GA,P,,25 Jun 2022,1072,0.000
294,298,,AzurPoly,Socata TB-30 Epsilon,0,154,Piston GA,P,,25 Jun 2022,1072,0.000
295,299,,MADolo Simulations,Alexander Schleicher AS33-me,0,154,Glider,F,,20 Jun 2022,1077,0.000
296,300,,Sim Skunk Works,Aeritalia-Fiat G-91,0,154,Military (Modern),P,,20 Jun 2022,1077,0.000
297,301,,Asobo,DA-77 Pelican,0,155,Other,F,,16 Jun 2022,1081,0.000
298,302,,Black Box Sim,Scottish Aviation Bulldog,0,155,Piston GA,P,,14 Jun 2022,1083,0.000
299,303,,Carenado,Waco YMF 5,0,140,Vintage / Biplane,P,,3 Jun 2022,975,0.000
300,304,,FSReborn,Sting S4,0,140,Ultralight / Sports,P,,3 Jun 2022,975,0.000
302,305,,Asobo,P51D Mustang,0,140,Warbird (Classic),P,,2 Jun 2022,976,0.000
303,306,,IndiaFoxtEcho,Goshawk T-45,0,140,Military (Modern),P,,2 Jun 2022,976,0.000
304,307,,Asobo,SR-72 Darkstar  (Top Gun DLC | fictional),0,141,Military (Modern),F,,26 May 2022,983,0.000
305,308,,Asobo,Gee Bee R-2 & Z,0,141,Turboprop,P,,26 May 2022,983,0.000
306,309,,Asobo,Aero L-39 Albatross,0,141,Military (Modern),P,,26 May 2022,983,0.000
307,310,,FrenchVFR,PBY Catalina,0,142,Seaplane,F,,22 May 2022,987,0.000
308,311,,Asobo,JMB VL3 (with & without mods),0,142,Piston GA,F,,20 May 2022,989,0.000
309,312,,BRsim Designs,Bonanza H35 V-Tail,0,142,Piston GA,P,,22 May 2022,987,0.000
310,313,,GotGravel,Zlin Savage Carbon,0,143,Piston GA,F,,12 May 2022,997,0.000
311,314,,BT Studio,Kitfox S7 STi,0,143,Piston GA,P,,11 May 2022,998,0.000
312,315,,Asobo,Zlin Savage Cub (with & without mod),0,143,Piston GA,F,,10 May 2022,999,0.000
313,316,,Wing42,Blériot XI (any variant),0,143,Vintage / Biplane,P,,10 May 2022,999,0.000
316,317,,Asobo ,Boeing 737 Max,0,144,Airliner,F,,5 May 2022,1004,0.000
317,318,,Leonardo,Maddog MD-82,0,144,Airliner,P,,3 May 2022,1006,0.000
318,319,,Big Radials,Curtiss P40-B Tomahawk,0,162,Warbird (Classic),P,,28 Apr 2022,1130,0.000
319,320,,Big Radials,Nieuport 17,0,145,Vintage / Biplane,P,,28 Apr 2022,1011,0.000
320,321,,Carenado,Cessna CT182-T Skylane,0,145,Piston GA,P,,25 Apr 2022,1014,0.000
94,322,,SimWorks Studio,Vans RV-14/14A,0,146,Ultralight / Sports,P,,22 Apr 2022,1017,0.000
322,323,,Lionheart Creations,Bucker Bu-131 Jungmann,0,146,Vintage / Biplane,P,,19 Apr 2022,1020,0.000
323,324,,Aeroplane Heaven,Electra 10-A,0,146,Vintage / Biplane,P,,19 Apr 2022,1020,0.000
324,325,,HPG,Airbus H135,0,147,Helicopter,F,,17 Apr 2022,1022,0.000
95,326,,AzurPoly,Fouga CM.170 Magister,0,148,Military (Modern),P,,7 Apr 2022,1032,0.000
96,327,,VirtualCol,Embraer 170/175,0,148,Airliner,P,,6 Apr 2022,1033,0.000
100,328,,Carenado,Cessna C170-B,0,148,Piston GA,P,,5 Apr 2022,1034,0.000
326,329,,Asobo,Icon A5,0,148,Piston GA,F,,7 Apr 2022,1032,0.000
327,330,,SimWorks Studio,Zenith CH701 STOL,0,148,Piston GA,P,,6 Apr 2022,1033,0.000
328,331,,Asobo,Pilatus PC-6 Porter (+GotGravel mod),0,148,Turboprop,F,,6 Apr 2022,1033,0.000
329,332,,Asobo,Volocity (Volocopter),0,148,Helicopter,F,,6 Apr 2022,1033,0.000
330,333,,TouchingCloud,DG-808S,0,148,Glider,F,,7 Apr 2022,1032,0.000
331,334,,Asobo,King Air 350i,0,148,Turboprop,F,,10 Apr 2022,1029,0.000
332,335,,Asobo,Beechcraft / Textron Baron G58,0,148,Piston GA,D,,7 Apr 2022,1032,0.000
333,336,,Flysimware,Grumman G44A Widgeon,0,148,Piston GA,P,,7 Apr 2022,1032,0.000
334,337,,Asobo ,Boeing 747,0,148,Airliner,F,,6 Apr 2022,1033,0.000
335,338,,Captain Sim,Boeing 777-200ER,0,148,Airliner,P,,6 Apr 2022,1033,0.000
35,339,,Asobo,"Cessna C208B Grand Caravan EX 
(with & without mod)",0,149,Turboprop,F,,28 Mar 2022,1042,0.000
37,340,,Asobo,"Daher TBM 930
(inc. with improvement mod)",0,149,Turboprop,F,,28 Mar 2022,1042,0.000
97,341,,Asobo,Diamond DA62[X] (Modded),0,149,Piston GA,F,,30 Mar 2022,1040,0.000
103,342,,Asobo,Robin DR400-180,0,149,Piston GA,F,,28 Mar 2022,1042,0.000
336,343,,A1R Design,Ryan ST-A Special,0,149,Vintage / Biplane,P,,30 Mar 2022,1040,0.000
337,344,,DC Designs ,Concorde,0,149,Airliner,P,,30 Mar 2022,1040,0.000
338,345,,Asobo,Aviat Husky A-1C,0,149,Piston GA,P,,2 Apr 2022,1037,0.000
339,346,,GotGravel,Vertigo,0,149,Turboprop,F,,30 Mar 2022,1040,0.000
340,347,,Asobo,Aviat Pitts Special,0,149,Ultralight / Sports,F,,31 Mar 2022,1039,0.000
341,348,,Rotorsim Pilot,H125,0,149,Helicopter,F,,1 Apr 2022,1038,0.000
342,349,,Dave Garwood,DeHaviiland DH89 Dragon Rapide,0,149,Vintage / Biplane,F,,2 Apr 2022,1037,0.000
343,350,,Microsoft ,Dornier Do J Wal,0,149,Seaplane,P,,2 Apr 2022,1037,0.000
344,351,,Aeroplane Heaven,Spitfire Mk. 1A,0,166,Warbird (Classic),P,,30 Mar 2022,1159,0.000
345,352,,Aeroplane Heaven,P51D Mustang,0,149,Warbird (Classic),P,,30 Mar 2022,1040,0.000
351,353,,Asobo,Diamond DA40 (with & without mod),0,149,Piston GA,F,,28 Mar 2022,1042,0.000
355,354,,Asobo,Top Rudder 103 Solo Aerolite,0,149,Ultralight / Sports,P,,29 Mar 2022,1041,0.000
356,355,,Asobo,Junkers JU52,0,149,Vintage / Biplane,P,,28 Mar 2022,1042,0.000
357,356,,Rotorsim Pilot,Robinson R44,0,149,Helicopter,F,,29 Mar 2022,1041,0.000
358,357,,Asobo,Zlin Shock Ultra,0,149,Piston GA,D,,29 Mar 2022,1041,0.000
359,358,,Aeroplane Heaven,Cessna 140,0,149,Piston GA,P,,28 Mar 2022,1042,0.000
360,359,,Asobo,Beechcraft Staggerwing,0,149,Vintage / Biplane,P,,28 Mar 2022,1042,0.000
361,360,,Asobo,F-18 Hornet,0,149,Military (Modern),F,,28 Mar 2022,1042,0.000
362,361,,Sim Skunk Works,TF-104 G Starfighter,0,149,Military (Modern),P,,28 Mar 2022,1042,0.000
363,362,,Fsadnis ,Hurricane,0,149,Warbird (Classic),F,,28 Mar 2022,1042,0.000
364,363,,Iris Simulations,Jabiru J160 / 170,0,149,Piston GA,P,,28 Mar 2022,1042,0.000
365,364,,Top Mach Studio,F-22 Raptor,0,149,Military (Modern),F,,28 Mar 2022,1042,0.000
366,365,,Ants Airplanes,Drifter Ultralight,0,149,Ultralight / Sports,P,,28 Mar 2022,1042,0.000
367,366,,Asobo,Flight Design CTSL,0,149,Piston GA,F,,28 Mar 2022,1042,0.000
24,367,,PMDG,Douglas DC-6,0,150,Vintage / Biplane,P,,27 Mar 2022,1043,0.000
34,368,,Black Box Sim,BN 2 Islander,0,150,Piston GA,P,,27 Mar 2022,1043,0.000
39,369,,Black Box Sim,Cessna L-19 Bird Dog,0,150,Piston GA,P,,27 Mar 2022,1043,0.000
102,370,,MilViz / Blackbird,Pilatus PC-6 Porter ,0,150,Turboprop,P,,27 Mar 2022,1043,0.000
105,371,,Parallel 42,Freedom Fox / Fox2,0,150,Piston GA,P,,27 Mar 2022,1043,0.000
106,372,,AT Simulations,Focke-Wulf / Piaggio 149D,0,150,Piston GA,P,,27 Mar 2022,1043,0.000
108,373,,MilViz / Blackbird,FG-1D Corsair,0,150,Warbird (Classic),P,,27 Mar 2022,1043,0.000
109,374,,Carenado,Mooney M20R Ovation,0,150,Piston GA,P,,27 Mar 2022,1043,0.000
110,375,,Aerosoft,DHC-6 Twin Otter,0,150,Turboprop,P,,27 Mar 2022,1043,0.000
111,376,,Carenado,Piper PA44 Seminole,0,150,Piston GA,P,,27 Mar 2022,1043,0.000
347,377,,Just Flight,Piper Turbo Arrow 3/4 (and non-Turbo),0,150,Piston GA,P,,27 Mar 2022,1043,0.000
349,378,,Asobo,Cirrus SR-22 / SR-22T G6,0,150,Piston GA,D,,27 Mar 2022,1043,0.000
350,379,,Just Flight,BAe Hawk T1/A,0,150,Military (Modern),P,,27 Mar 2022,1043,0.000
353,380,,Asobo / WT,Cessna Citation CJ4,0,150,Business Jet,F,,27 Mar 2022,1043,0.000
354,381,,Got Friends,EA-7 Edgley Optica,0,150,Piston GA,P,,27 Mar 2022,1043,0.000
368,382,,Big Radials,Grumman JRF-6B Goose,0,150,Vintage / Biplane,P,,27 Mar 2022,1043,0.000
369,383,,FlyInside,Bell 47G,0,150,Helicopter,P,,27 Mar 2022,1043,0.000
370,384,,DC Designs,Boeing Stearman PT-17,0,150,Vintage / Biplane,P,,27 Mar 2022,1043,0.000
371,385,,Aerosoft ,Bombardier CRJ (any variant),0,150,Airliner,P,,27 Mar 2022,1043,0.000
372,386,,IndiaFoxtEcho,Aermacchi MB-339 ,0,150,Military (Modern),P,,27 Mar 2022,1043,0.000
373,387,,Just Flight,Piper Warrior II,0,150,Piston GA,P,,27 Mar 2022,1043,0.000
374,388,,Carenado,C337H Skymaster,0,150,Piston GA,P,,27 Mar 2022,1043,0.000
375,389,,Got Friends,Monster NXCub,0,150,Piston GA,F,,27 Mar 2022,1043,0.000
376,390,,Mario Noriega,Caproni-Vizzola C-22J Ventura,0,150,Business Jet,P,,27 Mar 2022,1043,0.000
377,391,,DC Designs,F-14 Tomcat,0,150,Military (Modern),P,,27 Mar 2022,1043,0.000
378,392,,SC Designs,F-16 Falcon,0,150,Warbird (Classic),P,,27 Mar 2022,1043,0.000
379,393,,DC Designs,F-15 Eagle,0,150,Military (Modern),P,,27 Mar 2022,1043,0.000
380,394,,Salty Simulations,Boeing B747-8,0,150,Airliner,F,,27 Mar 2022,1043,0.000
381,395,,Asobo,Airbus A320neo,0,150,Airliner,F,,27 Mar 2022,1043,0.000
382,396,,Heavy Division,Boeing B78X,0,150,Airliner,F,,27 Mar 2022,1043,0.000
383,397,,Deejing ,Vans RV-7/7A,0,150,Ultralight / Sports,F,,27 Mar 2022,1043,0.000
384,398,,Carenado,Piper PA-34 Seneca V,0,150,Piston GA,P,,27 Mar 2022,1043,0.000
385,399,,Iris Simulations,Grob Tutor,0,150,Piston GA,P,,27 Mar 2022,1043,0.000
,,,,,,,,,,,,
,,,,Total VOTES,149,31,,,,⬅️ + MISSING VOTES,,
,,,,Total PARTICIPANTS,18,,,,,,,
,,,,Participants (actual),18,,,,,,,
,,,,Total AIRCRAFT,399,,,,,,,
